Reference,Title,Country
CA2338478,METHOD AND SYSTEM FOR RECONCILING CONCURRENT STREAMS OF TRANSACTIONS IN A DATABASE,CA
CA2338618,Digital watermarks and methods for security documents,CA
CA2341382,SYSTEM AND METHOD FOR A MASTER SCHEDULER,CA
CA2347196,"Apparatus and method for describing, planning and automatically programming complex finishing tasks",CA
CA2351411,METHOD AND APPARATUS FOR SELECTING AND DISPLAYING MULTI-MEDIA MESSAGES,CA
CA2354062,METHOD AND ARRANGEMENT FOR TRANSFERRING INFORMATION IN A PACKET RADIO SERVICE                                           ,CA
CA2356483,COMMUNICATIONS PRIORITIZER,CA
CA2358726,METHOD SYSTEM AND SOFTWARE FOR ORDERING GOODS AND/OR SERVICES OVER A COMMUNICATION NETWORK,CA
CA2365395,DEFAULT ROUTE CODING,CA
CA2365644,PORTABLE ELECTRONIC CHARGE AND AUTHORIZATION DEVICES AND METHODS THEREFOR,CA
CA2369110,SEAMLESS RATE ADAPTIVE MULTICARRIER MODULATION SYSTEM AND PROTOCOLS,CA
CA2369858,Single Ended Measurement Method And System For Determining Subscriber Loop Make Up,CA
CA2373511,Methods and systems for controlling computers or linking to internet resources from physical and electronic objects,CA
CA2375989,METHOD FOR CONNECTION ESTABLISHMENT IN A RADIO SYSTEM RELAYING PACKET-SWITCHED TRAFFIC,CA
CA2382519,MULTICARRIER SYSTEM WITH STORED APPLICATION PROFILES FOR SUPPORTING MULTIPLE APPLICATIONS,CA
CA2382522,MULTICARRIER SYSTEM WITH DYNAMIC SWITCHING BETWEEN ACTIVE APPLICATION SETS,CA
CA2382799,Method and system for using a communication network to supply targeted streaming advertising in interactive media,CA
CA2382807,Method and system for using a communication network to supply targeted streaming advertising in interactive media,CA
CA2382922,Methods and apparatus for conducting electronic transactions,CA
CA2385298,REPORTING COMMUNICATION LINK INFORMATION,CA
CA2385331,METHOD AND APPARATUS FOR A FOUR-WAY HASH TABLE,CA
CA2386823,SYSTEM AND METHOD FOR CONTROLLING THE STORAGE AND REMOTE RETRIEVAL OF SURVEILLANCE VIDEO IMAGES,CA
CA2390190,"Coating for treating substrates for ink jet printing including imbibing solution for enhanced image visualization and retention, method for treating said substrates, and articles produced therefrom",CA
CA2391315,SECURE SYSTEM AND METHOD FOR SUBSCRIBER PROFILE CUSTOMIZATION,CA
CA2394479,SECURE GATEWAY HAVING ROUTING FEATURE,CA
CA2394493,SECURE GATEWAY HAVING USER IDENTIFICATION AND PASSWORD AUTHENTICATION,CA
CA2401348,MULTI-DIMENSIONAL DATABASE AND INTEGRATED AGGREGATION SERVER,CA
CA2402856,Methods and apparatus for authenticating the download of information onto a smart card,CA
CA2406413,COMMUNICATIONS PRIORITIZER,CA
CA2410746,"METHOD, SYSTEM AND COMPUTER READABLE MEDIUM FOR WEB SITE ACCOUNT AND E-COMMERCE MANAGEMENT FROM A CENTRAL LOCATION",CA
CA2416302,Variable state length initialization for DSL systems,CA
CA2416530,Using embedded data with file sharing,CA
CA2419780,SYSTEM AND METHOD FOR DISPLAYING ADVERTISING IN AN INTERACTIVE PROGRAM GUIDE,CA
CA2422081,Digitally marked objects and promotional methods,CA
CA2425981,"Coating for treating substrates for ink jet printing including imbibing solution for enhanced image visualization and retention, method for treating said substrates, and articles produced therefrom",CA
CA2431123,INFORMING NETWORK ABOUT AMOUNT OF DATA TO BE TRANSFERRED,CA
CA2436858,Fast initialization using seamless rate adaptation,CA
CA2442518,System and method for networked loyalty program,CA
CA2442603,Digital composition of a mosaic image,CA
CA2443658,METHOD AND APPARATUS FOR SENSING AND INTERPOLATING COLOR IMAGE DATA,CA
CA2445711,MODULAR COMPUTER SYSTEM,CA
CA2445753,Teleconferencing system,CA
CA2446744,"SYSTEM, METHOD AND COMPUTER PROGRAM PRODUCT FOR AUDITING XML MESSAGES IN A NETWORK-BASED MESSAGE STREAM",CA
CA2446753,SYSTEM AND METHOD FOR ANALYZING STRUCTURED MESSAGE STREAM DATA ,CA
CA2447801,TELEVISION PROGRAM DATABASE ARCHITECTURE,CA
CA2448978,CELL-BASED SWITCH FABRIC ARCHITECTURE,CA
CA2453239,Hyperlink park and search,CA
CA2454997,Packet data flow identification for multiplexing,CA
CA2456366,DIGITAL TELEVISION TRANSMITTER IDENTIFICATION SYSTEM USING AN IDENTIFICATION SEQUENCE,CA
CA2457839,Automatic 3D modeling system and method,CA
CA2459539,Interactive television devices and systems,CA
CA2470704,Network Configuration Management,CA
CA2473606,Compressing cell headers for data communication,CA
CA2476904,"METHODS FOR REAL-TIME SOFTWARE VIDEO/AUDIO COMPRESSION, TRANSMISSION, DECOMPRESSION AND DISPLAY",CA
CA2477457,System and Method that Facilitates Customizing Media,CA
CA2480081,Scalable high-performance 3D graphics,CA
CA2483419,Methods and systems for processing digital media content,CA
CA2484041,Method and system for wireless intrusion detection,CA
CA2486746,Method and system for encapsulating cells,CA
CA2487477,Method For Determining Proximity Of Devices In A Wireless Network,CA
CA2496064,"SYSTEM, METHOD AND COMPUTER PROGRAM PRODUCT FOR MONITORING AND CONTROLLING NETWORK CONNECTIONS FROM A SUPERVISORY OPERATING SYSTEM",CA
CA2497271,SYSTEM AND METHOD FOR MANAGING A MANUFACTURING PROCESSING OPERATION,CA
CA2502232,Identification document and related methods,CA
CA2507227,Facsimile to e-mail communication system with local interface,CA
CA2509579,SYSTEMS AND METHODS FOR DETECTING A SECURITY BREACH IN A COMPUTER SYSTEM,CA
CA2512697,High resolution access control,CA
CA2517838,METHOD AND APPARATUS FOR AGGREGATING POWER FROM MULTIPLE SOURCES,CA
CA2530899,MULTI-PHONEME STREAMER AND KNOWLEDGE REPRESENTATION SPEECH RECOGNITION SYSTEM AND METHOD,CA
CA2533853,Method and System for Detecting Unauthorised Use of a Communication Network,CA
CA2534134,Dial-Out Voice Notification System,CA
CA2538249,Dynamic cost network routing,CA
CA2559482,Variable state length initialization for DSL systems,CA
CA2568096,NETWORKED IDENTITY FRAMEWORK,CA
CA2581734,Determining and provisioning paths in a network,CA
CA2585216,METHOD AND APPARATUS FOR STRIPING DATA AND FOR ADDING/REMOVING DISKS IN A RAID STORAGE SYSTEM,CA
CA2592315,SYSTEM AND METHOD FOR AUTHORIZED DIGITAL CONTENT DISTRIBUTION,CA
CA2592448,Capacity management system for passive optical networks,CA
CA2594716,Video and multimedia distribution system,CA
CA2598652,SYSTEMS AND METHODS FOR PROVIDING 9-1-1 SERVICES TO NOMADIC INTERNET TELEPHONY CALLERS,CA
CA2600627,True-time-delay feed network for CTS array,CA
CA2607546,Method for interactive information display and collaborative product design,CA
CA2619667,PREDICTIVE MODELING OF CONSUMER FINANCIAL BEHAVIOR,CA
CA2636315,"HARD DISK DRIVE WITH EXTERNAL SENSOR INTERFACE, SYSTEM, AND METHOD",CA
CA2643424,MULTICARRIER SYSTEM WITH STORED APPLICATION PROFILES FOR SUPPORTING MULTIPLE APPLICATIONS,CA
CA2644930,Topology independent storage arrays and methods,CA
CA2649172,METHODS OF RESOLVING DATAGRAM CORRUPTION OVER AN INTERNETWORKING PROTOCOL,CA
CA2650301,METHOD AND SYSTEM FOR NAVIGATING THROUGH CONTENT IN AN ORGANIZED AND CATEGORIZED FASHION,CA
CA2651497,VARIABLE SPECTRAL PHASE ENCODER/DECODER BASED ON DECOMPOSITION OF HADAMARD CODES,CA
CA2652124,PRE-PAID SECURITY MECHANISM IN A POST-PAY TELECOMMUNICATIONS SYSTEM,CA
CA2653906,CODE GROUPING FOR OPTICAL NETWORKS,CA
CA2653932,Concept based cross media indexing and retrieval of speech documents,CA
CA2653991,COHERENT GATED RECEIVER,CA
CA2657221,GENERATING STORAGE SYSTEM COMMANDS,CA
CA2660087,MEMORY CONFIGURATION AND METHOD FOR CALIBRATING READ/WRITE DATA BASED ON PERFORMANCE CHARACTERISTICS OF THE MEMORY CONFIGURATION,CA
CA2690826,Automatic 3D modeling system and method,CA
CA2699560,METHOD AND APPARATUS FOR HOLOGRAPHIC USER INTERFACE COMMUNICATION,CA
CA2704550,METHOD AND SYSTEM FOR POLICY ENABLED PROGRAMMING,CA
CA2717189,"Electromagnetic Cloaking And Translation Apparatus, Methods, And Systems",CA
CA2718913,Redundant Data Forwarding Storage,CA
CA2722415,Real-time communications over data forwarding framework,CA
CA2723173,Dynamic account authentication using a mobile device,CA
CA2723809,Deletion in data file forwarding framework,CA
CA2727457,Media delivery in data forwarding storage network,CA
CA2730310,Advertisement forwarding storage and retrieval network,CA
CA2732516,Multi-homed data forwarding storage,CA
CA2738634,Selective data forwarding storage,CA
CA2738641,Rotating encryption in data forwarding storage,CA
CA2738643,Geolocation assisted data forwarding storage,CA
CA2738651,Measurement in data forwarding storage,CA
CA2753375,Methods and apparatus for conducting electronic transactions,CA
CA2793007,MULTICARRIER SYSTEM WITH STORED APPLICATION PROFILES FOR SUPPORTING MULTIPLE APPLICATIONS,CA
CA2814635,Surface Scattering Antennas,CA
CA2879408,Liquefied Breathing Gas Systems for Underground Mine,CA
CA2893917,Methods and apparatus for conducting electronic transactions,CA
CA2912644,Systems and Methods for Detecting Soil Characteristics,CA
CA2914933,Multi-Elevational Antenna Systems and Methods of Use,CA
CA2914934,Multi-Elevational Antenna Systems and Methods of Use,CA
CL9092013,Surface Scattering Antennas,CL
CN100558124,Telephone number area code preprocessor,CN
CN100594613,ELECTRIC DEVICE COMPRISING PHASE CHANGE MATERIAL,CN
CN101002185,Data processing system and method for interconnect arbitration ,CN
CN101002218,Module base unit with strain relief means,CN
CN101002402,Combined open loop/closed loop power control in a wireless communication system,CN
CN101006450,SYSTEM AND METHOD FOR REVERSIBLE DATA HIDING BASED ON INTEGER WAVELET SPREAD SPECTRUM,CN
CN101009133,Memory,CN
CN101010879,Frequency-Division Circuit,CN
CN101010896,A PILOT ALLOCATION METHOD AND DEVICE OF ORTHOGONAL FREQUENCY DIVISION MULTIPLEXING SYSTEM,CN
CN101010959,TRICKMODES AND SPEED TRANSITIONS,CN
CN101015122,RF selection switch for multiple antenna input,CN
CN101019313,Signal Splitter,CN
CN101021633,Liquid crystal display,CN
CN101023406,DOCUMENT PROCESSING APPARATUS AND METHODS,CN
CN101027668,DISTRIBUTED STORAGE ARCHITECTURE BASED ON BLOCK MAP CACHING AND VFS STACKABLE FILE SYSTEM MODULES,CN
CN101027836,Improved linear power amplifier,CN
CN101027875,SYSTEM AND METHOD FOR SCALABLE MULTIFUNCTIONAL NETWORK COMMUNICATION,CN
CN101031751,High power led electro-optic assembly,CN
CN101032017,Dual gate CMOS fabrication,CN
CN101035297,Hard-Decision Iteration Decoding Based On An Error-Correcting Code With A Low Undetectable Error Probability,CN
CN101040261,MODULAR EVENT-DRIVEN PROCESSING,CN
CN101040555,Reconfigurable wireless communications device and radio,CN
CN101044683,Signal Strength Indicator,CN
CN101047024,Memory,CN
CN101048470,"IMAGING COMPOSITIONS, IMAGING METHODS AND IMAGING MEMBERS",CN
CN101048948,METHOD AND APPARATUS OF CLEAR CHANNEL ASSESSMENT WITH RESPECT TO A COMMUNICATION MEDIUM ,CN
CN101048977,DYNAMIC ADAPTATION FOR WIRELESS COMMUNICATIONS WITH ENHANCED QUALITY OF SERVICE,CN
CN101048987,DATA TRANSMISSION METHOD AND NETWORK ELEMENTS,CN
CN101052887,Testable Integrated Circuit,CN
CN101056160,Method and device for transferring data wherein a bit rate adaptation model is signaled between the transmitter and the receiver,CN
CN101057193,SYSTEM AND METHOD FOR DETERMINING MAINTENANCE NEEDS OF COMPLEX ELECTROMECHANICAL SYSTEMS,CN
CN101057396,Tunable cascode LNA with flat gain response over a wide frequency range,CN
CN101057476,METHOD AND APPARAPUS FOR DELIVERING PERSONALIZED CONTENT WITH A REAL-TIME ROUTING NETWORK,CN
CN101064185,Memory,CN
CN101064186,Memory,CN
CN101064281,Method Of Manufacturing CMOS Image Sensor With Prlasma Damage Free Photodiode,CN
CN101065809,SRAM TEST METHOD AND SRAM TEST APPARATUS TO DETECT WEAK CELLS,CN
CN101069221,Codec-assisted capacity enhancement of wireless VOIP,CN
CN101071318,"Portable processor for computing, communication and entertainment",CN
CN101072978,COOLING SYSTEMS INCORPORATING HEAT TRANSFER MESHES,CN
CN101073217,METHOD FOR STBC MIMO-OFDM PEAK-TO-AVERAGE POWER RATIO REDUCTION BY CROSS-ANTENNA ROTATION AND INVERSION,CN
CN101073266,Method and system for streaming images to wireless devices,CN
CN101073277,Interactive imaging for cellular phones,CN
CN101076968,"CRYPTOGRAPHIC PRIMITIVES, ERROR CODING, AND PSEUDO-RANDOM NUMBER IMPROVEMENT METHODS USING QUASIGROUPS",CN
CN101079738,Secured communication channel using network management software as the basis to manage networks ,CN
CN101079882,POSTURE-BASED DATA PROTECTION,CN
CN101080911,METHOD AND ARRANGEMENT FOR CALIBRATING AMPLITUDE AND PHASE IMBALANCE AND DC OFFSET OF AN ANALOG I/Q MODULATOR IN A HIGH-FREQUENCY TRANSMITTER,CN
CN101083456,Method of manufacturing an acoustic mirror for a piezoelectric resonator and method of manufacturing a piezoelectric resonator,CN
CN101084687,Systems and methods for the connection and remote configuration of wireless clients,CN
CN101086768,PIEZOELECTRIC TAG,CN
CN101089992,Memory,CN
CN101089995,Memory and Control Unit,CN
CN101093836,METHOD OF FABRICATING MEMORY AND MEMORY,CN
CN101095299,TRANSMITTING DEVICE FOR FREE-SPACE OPTICAL TRANSMISSION,CN
CN101099372,Display management during a multi-party conversation,CN
CN101103570,METHOD AND/OR SYSTEM FOR REDUCTION OF PAPR,CN
CN101103635,White balance correction in digital camera images,CN
CN101110888,Image file processing equipment and processing method for image file format conversion ,CN
CN101111867,Determining scene distance in digital camera images,CN
CN101111899,Nonvolatile semiconductor storage device and method for operating same,CN
CN101111970,ANTENNA WITH MULTIPLE FOLDS,CN
CN101111997,Perception-Aware Low-Power Audio Decoder for Portable Devices,CN
CN101128982,Method and system for VoIP over WLAN to Bluetooth headset using advanced eSCO scheduling,CN
CN101129025,Method And System For Voip Over Wlan To Bluetooth Headset Using Acl Link And Sniff For Alighed Esco Transmission,CN
CN101129038,METHOD AND APPARATUS FOR PROVIDING DYNAMIC SELECTION OF CARRIERS,CN
CN101133566,METHOD AND APPARATUS FOR REDUCING PHASE ERROR NOISE,CN
CN101136452,Phase Variation Storage Installation and its Making Method,CN
CN101141453,Anti-virus and firewall system,CN
CN101151590,Multi-threaded processor,CN
CN101154934,Acoustic resonator,CN
CN101159799,Digital watermarking and methods for security documents,CN
CN101160727,Methods and apparatus for error correction of transparent GFP (Generic Framing Procedure) superblocks,CN
CN101160924,METHOD FOR DISTRIBUTING CERTIFICATES IN A COMMUNICATION SYSTEM,CN
CN101162724,Image Sensor With Improved Color Crosstalk,CN
CN101167060,System and method for providing a secure boot architecture,CN
CN101167076,ADDITIVE CLUSTERING OF IMAGES LACKING TEMPORAL INFORMATION,CN
CN101167265,Systems and methods for transmitter diversity expansion,CN
CN101171745,Controllable Input Amplifier With Gain Of Receiver,CN
CN101176069,Method and system for validating a computer system,CN
CN101180631,Print medium feature encoding and decoding,CN
CN101180713,Method of fabricating a bipolar transistor,CN
CN101180739,Edge Termination For Semiconductor Device,CN
CN101185196,Improved diversity antenna assembly for wireless communication equipment ,CN
CN101188216,SILICON ON INSULATOR DEVICE WITH IMPROVED HEAT REMOVAL AND METHOD OF MANUFACTURE,CN
CN101189580,Data processing system and method for scheduling the use of at least one exclusive resource,CN
CN101189621,USING PHOTOGRAPHER IDENTITY TO CLASSIFY IMAGES,CN
CN101189852,TECHNIQUES FOR UPSTREAM FAILURE DETECTION AND FAILURE RECOVERY,CN
CN101194181,A System And Method For Searching Physical Objects,CN
CN101194255,Classification-expanded indexing and retrieval of classified documents,CN
CN101199023,Semiconductor storage apparatus,CN
CN101207578,IMAGE AND SOUND ELECTRONIC MAIL SYSTEM AND COMMUNICATION METHOD THEREOF,CN
CN101208890,Methods and system for quantum key distribution over multi-user WDM network with wavelength routing,CN
CN101211078,Pixel structure and liquid crystal display panel,CN
CN101211959,Phase-change memory device and fabrication method thereof,CN
CN101213318,METHOD AND APPARATUS FOR GROWING SINGLE-CRYSTAL METALS,CN
CN101213550,Camera control means to allow operating of a destined location of the information surface of a presentation and information system,CN
CN101213849,Matching Queries In A Network,CN
CN101218450,PRESSURIZED MAGNETORHEOLOGICAL FLUID DAMPERS,CN
CN101218579,System and method for transferring data,CN
CN101221317,Backlight component,CN
CN101223500,Auto Purge of Serial Use Devices,CN
CN101228458,GPS receiver with improved immunity to collocated transmissions and method thereof,CN
CN101228622,Flip-Chip Package With Air Cavity,CN
CN101228728,A METHOD FOR IMPROVING CALL SPEED OF THE CALLED USER IN CDMA CLUSTER SYSTEM,CN
CN101228766,EXCHANGE OF KEY MATERIAL,CN
CN101248642,SIGNALING COMPRESSION/DECOMPRESSION,CN
CN101248698,RRC SIGNALLING FOR FAST HS-DSCH SERVING CELL CHANGE,CN
CN101251863,Adapted Piecewise Linear Processing Device,CN
CN101253601,POST & PENETRATION INTERCONNECTION,CN
CN101253625,Chip Capacitive Coupling,CN
CN101258593,ISOLATING CHIP-TO-CHIP CONTACT,CN
CN101263716,Systems and methods for distributing and/or playing multicasted video signals in multiple display formats,CN
CN101266834,Method for driving a phase-change memory and system,CN
CN101268691,System and method for transferring multiple data channels,CN
CN101271862,Memory Element and Manufacturing Method Thereof,CN
CN101271864,Photo Mask And Method For Fabricating Image Sensor Using The Same,CN
CN101271886,High-density circuit module,CN
CN101273427,Pushbutton with replaceable mode cam,CN
CN101273521,Oscillator Based On Piezoresistive Resonators,CN
CN101288025,Improved system and method for exhibiting image focus information on a viewfinder,CN
CN101292227,Cache with high access store bandwidth,CN
CN101292335,Redistribution layer for wafer-level chip scale package and method therefor,CN
CN101297273,PRESERVING CONTENT OF SERIAL USE DEVICES IN VIEW OF PURGE,CN
CN101308903,Phase-change memory element,CN
CN101313475,Programmable transceiver,CN
CN101317267,Fine-pitch routing in a lead frame based system-in-package (SIP) device,CN
CN101326723,Flash analog-to-digital converter,CN
CN101326766,METHOD AND APPARATUS FOR ROUTING A DIGITAL OBJECT,CN
CN101326774,Compatible broadcast downlink and unicast uplink interference reduction for a wireless communication system,CN
CN101326777,SYSTEM AND/OR METHOD FOR DOWNSTREAM BIDDING,CN
CN101326778,BIDDING NETWORK,CN
CN101330130,Fabrication of self-aligned via holes in polymer thin films ,CN
CN101330449,Method for implementing service interaction of IP multimedia subsystem,CN
CN101330464,"Network interface system, data packet transmission method and computer system",CN
CN101330497,Hashing unit and method for implementing hashing operation ,CN
CN101335282,Backside Illuminated Image Sensor,CN
CN101336427,DIGITAL OBJECT ROUTING BASED ON A SERVICE REQUEST,CN
CN101341655,Electronic circuit with low noise delay circuit ,CN
CN101350705,Diversity reception employing periodic testing,CN
CN101356526,METHOD FOR GENERATING A WORK OF COMMUNICATION,CN
CN101356741,A Device And A Method Of Playing Audio Clips,CN
CN101361198,Pixel structure for a solid state light emitting device,CN
CN101361199,Engineered structure for solid-state light emitters,CN
CN101366308,PS HANDOVER SUPPORT INDICATION,CN
CN101371219,Phone to phone data exchange,CN
CN101371229,Resource command messages and methods,CN
CN101375239,"A graphical user interface, electronic device, method and computer program that uses sliders for user input",CN
CN101379707,An Analog-To-Digital Converter,CN
CN101383397,Phase change memory device and fabrication method thereof,CN
CN101383688,Data communication device and method for keeping high availability of data communication device,CN
CN101385026,IDENTIFICATION OF TEXT,CN
CN101385085,SYSTEM INCLUDING A HARD DISK DRIVE AND STRAY MAGNETIC FIELD SENSOR AND ASSOCIATED METHOD,CN
CN101385328,METHOD FOR COLORIZING A DIGITAL HALFTONE,CN
CN101401310,Electronic device and integrated circuit,CN
CN101401334,Symmetric transmit opportunity (TXOP) truncation,CN
CN101411055,Radio frequency PWM & PPM modulator ,CN
CN101421178,"A method for manufacturing an electronic assembly, electronic assembly, covering piece and substrate",CN
CN101427372,Apparatus for multiple camera devices and method of operating same,CN
CN101427507,METHOD AND APPARATUS FOR USE OF SPACE TIME TRELLIS CODES BASED ON CHANNEL PHASE FEEDBACK,CN
CN101427551,System and method of conferencing endpoints,CN
CN101432700,Multi-Network Virus Immunization,CN
CN101432781,More power save multi-poll indication,CN
CN101432852,Non-Volatile Memory Device,CN
CN101432878,"Variable resistance element, and its manufacturing method",CN
CN101432879,"Variable resistance element, and manufacturing method thereof",CN
CN101438456,Power combiners using meta-material composite right/left hand transmission line at infinite wavelength frequency,CN
CN101438508,METHOD AND APPARATUS FOR AN ADAPTIVE MULTIPLE -INPUT MULTIPLE OUTPUT (MIMO) WIRELESS COMMUNICATIONS SYSTEMS,CN
CN101443633,Capacitive MEMS sensor device,CN
CN101448012,DATA STORAGE DEVICE HAVING IP CAPABLE PARTITIONS,CN
CN101449278,SYSTEM AND METHOD FOR ROBUST REVERSIBLE DATA HIDING AND DATA RECOVERY IN THE SPATIAL DOMAIN,CN
CN101449404,Structure and fabrication of self-aligned high-performance organic FETs ,CN
CN101449519,METHODS OF RESOLVING DATAGRAM CORRUPTION OVER AN INTERNETWORKING PROTOCOL,CN
CN101455064,FLEXIBLE RATING RULES AND CALENDAR RULES IMPLEMENTED IN A REAL-TIME CHARGING SYSTEM FOR A TELECOMMUNICATIONS NETWORK,CN
CN101460945,METHOD AND APPARATUS FOR ENHANCED BROWSING,CN
CN101461151,COMMUNICATING OVER A WIRELESS NETWORK,CN
CN101467231,Method Of Zinc Oxide Film Grown On The Epitaxial Lateral Overgrowth Gallium Nitride Template,CN
CN101467403,Mapping services to radio bearers and allocating bandwidth to the radio bearers according to weight values,CN
CN101467477,Network-initiated communication establishment in a cellular system,CN
CN101479741,CLASSIFYING IMAGE REGIONS BASED ON PICTURE LOCATION,CN
CN101485095,Data Compression,CN
CN101496164,ELECTRONIC CHIP CONTACT STRUCTURE,CN
CN101496168,SUBSTRATE AND PROCESS FOR SEMICONDUCTOR FLIP CHIP PACKAGE,CN
CN101496288,Data Compression,CN
