patent_id	patent_title	assigneeOriginal	filingDate	publicationDate	grantDate
US6023078	Bidirectional silicon carbide power devices having voltage supporting regions therein for providing improved blocking voltage capability	North Carolina State University	1998-04-28	2000-02-08	2000-02-08
US6023783	HYBRID CONCATENATED CODES AND ITERATIVE DECODING	California Institute of Technology 	1997-05-15	2000-02-08	2000-02-08
US6031653	LOW-COST THIN-METAL-FILM INTERFERENCE FILTERS	California Institute of Technology 	1998-08-27	2000-02-29	2000-02-29
US6036753	USE OF GLASS FIBER MATERIALS IN DIAGNOSING AND PREVENTING RADON INFILTRATION INTO BUILDINGS	Rutgers State University of New Jersey	1998-08-19	2000-03-14	2000-03-14
US6049549	ADAPTIVE MEDIA CONTROL	University of Massachusetts (UMass)	1997-08-14	2000-04-11	2000-04-11
US6049574	COST FUNCTION THAT MEASURES DISSIMILARITY BETWEEN THE PROBABILITY DISTRIBUTIONS OF SOURCE AND EQUALIZED SIGNALS	Tufts University	1998-04-17	2000-04-11	2000-04-11
US6049608	VARIABLE LENGTH NONLINEAR FEEDBACK SHIFT REGISTERS WITH DYNAMICALLY ALLOCATED TAPS	University Technology Corp	1996-12-31	2000-04-11	2000-04-11
US6061084	Displayer and a method for displaying	New York University	1998-01-21	2000-05-09	2000-05-09
US6064738	Method for encrypting and decrypting data using chaotic maps	Research Foundation of State University of New York	1996-12-10	2000-05-16	2000-05-16
US6064749	Hybrid tracking for augmented reality using both camera motion detection and landmark tracking	University of North Carolina at Chapel Hill	1996-08-02	2000-05-16	2000-05-16
US6072433	Autonomous formation flying sensor	California Institute of Technology 	1997-07-31	2000-06-06	2000-06-06
US6078619	OBJECT-ORIENTED VIDEO SYSTEM	University of Bath	1999-03-10	2000-06-20	2000-06-20
US6081507	METHODS AND APPARATUS FOR HANDLING TIME STAMP AGING	New York University Polytechnic Institute	1998-11-04	2000-06-27	2000-06-27
US6085147	SYSTEM FOR DETERMINATION OF OPTIMAL TRAVEL PATH IN A MULTIDIMENSIONAL SPACE	University Corp for Atmospheric Research (UCAR)	1997-09-26	2000-07-04	2000-07-04
US6094483	SECURE ENCRYPTION AND HIDING OF DATA AND MESSAGES IN IMAGES	Research Foundation of State University of New York	1997-08-06	2000-07-25	2000-07-25
US6097456	EFFICIENT COLOR DISPLAY USING LOW ABSORPTION IN-PIXEL COLOR FILTERS	California Institute of Technology 	1998-08-12	2000-08-01	2000-08-01
US6107000	METHOD FOR PRODUCING MICRO-OPTIC ELEMENTS WITH GRAY SCALE MASK	University of California	1996-12-17	2000-08-22	2000-08-22
US6108085	INTERFEROMETRIC AUTO-CORRELATOR USING THIRD-ORDER NONLINEARITY	University of New Mexico	1996-11-19	2000-08-22	2000-08-22
US6108493	SYSTEM, METHOD, AND ARTICLE OF MANUFACTURE FOR UTILIZING IMPLICIT RATINGS IN COLLABORATIVE FILTERS	University of Minnesota	1996-10-08	2000-08-22	2000-08-22
US6121969	VISUAL NAVIGATION IN PERCEPTUAL DATABASES	University of California	1997-07-29	2000-09-19	2000-09-19
US6122109	NON-PLANAR MICRO-OPTICAL STRUCTURES	University of New Mexico	1999-04-15	2000-09-19	2000-09-19
US6137785	WIRELESS MOBILE STATION RECEIVER STRUCTURE WITH SMART ANTENNA	New Jersey Institute of Technology	1998-03-17	2000-10-24	2000-10-24
US6144943	METHOD OF MANAGING CONTRACT HOUSEKEEPING SERVICES	Virginia Commonwealth University	1997-10-21	2000-11-07	2000-11-07
US6172658	Bubble imaging technology	California Institute of Technology 	1999-11-10	2001-01-09	2001-01-09
US6173271	Television advertising automated billing system	California Institute of Technology 	1997-11-26	2001-01-09	2001-01-09
US6173434	DYNAMICALLY-CONFIGURABLE DIGITAL PROCESSOR USING METHOD FOR RELOCATING LOGIC ARRAY MODULES	Brigham Young University	1997-01-22	2001-01-09	2001-01-09
US6204087	FABRICATION OF THREE-DIMENSIONAL ARCHITECTURE FOR SOLID STATE RADIATION DETECTORS	University of Hawaii	1999-03-30	2001-03-20	2001-03-20
US6205537	MECHANISM FOR DYNAMICALLY ADAPTING THE COMPLEXITY OF A MICROPROCESSOR	University of Rochester	1998-07-16	2001-03-20	2001-03-20
US6212292	CREATING AN IMAGE OF AN OBJECT WITH AN OPTICAL MICROSCOPE	California Institute of Technology 	1998-07-08	2001-04-03	2001-04-03
US6221565	TUNABLE BRAGG GRATINGS AND DEVICES EMPLOYING THE SAME	University of New Mexico	1999-02-08	2001-04-24	2001-04-24
US6222409	VARIABLE ANALOG DELAY LINE FOR ANALOG SIGNAL PROCESSING ON A SINGLE INTEGRATED CIRCUIT CHIP	University of Utah Research Foundation (UURF)	1999-07-16	2001-04-24	2001-04-24
US6232794	ELECTRONIC CIRCUIT WITH AUTOMATIC SIGNAL CONVERSION	University of New Mexico	1999-05-21	2001-05-15	2001-05-15
US6233290	Method for noncoherent coded modulation	California Institute of Technology 	1995-04-13	2001-05-15	2001-05-15
US6233550	METHOD AND APPARATUS FOR HYBRID CODING OF SPEECH AT 4KBPS 	University of California	1998-08-28	2001-05-15	2001-05-15
US6239830	Displayer and method for displaying	New York University	1999-05-17	2001-05-29	2001-05-29
US6240448	Method and system for audio access to information in a wide area computer network	Rutgers State University of New Jersey	1996-12-20	2001-05-29	2001-05-29
US6271867	EFFICIENT PIXEL PACKING 	Duke University	1998-10-31	2001-08-07	2001-08-07
US6278716	MULTICAST WITH PROACTIVE FORWARD ERROR CORRECTION	University of Massachusetts (UMass)	1998-03-23	2001-08-21	2001-08-21
US6292797	Method for Determining Actionable Patterns in a Database	New York University	1998-08-06	2001-09-18	2001-09-18
US6295535	METHOD AND SYSTEM FOR CREATING DESIGNS USING INTERNET-BASED AGENTS	Michigan State University	1998-11-13	2001-09-25	2001-09-25
US6303410	METHOD OF FORMING POWER SEMICONDUCTOR DEVICES HAVING RECESSED GATE ELECTRODES	North Carolina State University	2000-04-12	2001-10-16	2001-10-16
US6304678	IMAGE ARTIFACT REDUCTION USING MAXIMUM LIKELIHOOD PARAMETER ESTIMATION	Boston University	2000-05-12	2001-10-16	2001-10-16
US6307962	DOCUMENT DATA COMPRESSION SYSTEM WHICH AUTOMATICALLY SEGMENTS DOCUMENTS AND GENERATES COMPRESSED SMART DOCUMENTS THEREFROM	University of Rochester	1997-11-07	2001-10-23	2001-10-23
US6310906	CHAOTIC CARRIER PULSE POSITION MODULATION COMMUNICATION SYSTEM AND METHOD	University of California	1999-08-18	2001-10-30	2001-10-30
US6313482	Silicon carbide power devices having trench-based silicon carbide charge coupling regions therein	North Carolina State University	1999-05-17	2001-11-06	2001-11-06
US6313486	Floating gate transistor having buried strained silicon germanium channel layer 	University of Texas System	2000-06-15	2001-11-06	2001-11-06
US6313487	Vertical channel floating gate transistor having silicon germanium channel layer 	University of Texas System	2000-06-15	2001-11-06	2001-11-06
US6314327	Method for predicting future function values utilizing derivative samples	University of Akron	1998-04-28	2001-11-06	2001-11-06
US6323854	MULTI-TILE VIDEO DISPLAY SYSTEM WITH DISTRIBUTED CRTC 	Duke University	1998-10-31	2001-11-27	2001-11-27
US6326809	APPARATUS FOR AND METHOD OF ELIMINATING SINGLE EVENT UPSETS IN COMBINATIONAL LOGIC	University of New Mexico	1999-09-27	2001-12-04	2001-12-04
US6327074	DISPLAY MEDIUM USING EMITTING PARTICULES DISPERSED IN A TRANSPARENT HOST	University of Central Florida	1999-11-24	2001-12-04	2001-12-04
US6332037	INVARIANT, EIGENVALUE BASED, NON-DEGENERATE DATA STRUCTURE CHARACTERIZATION, STORAGE AND RETRIEVAL INDEXING METHOD	University of Nebraska	1999-04-09	2001-12-18	2001-12-18
US6334121	USAGE PATTERN BASED USER AUTHENTICATOR	Virginia Commonwealth University	1999-03-12	2001-12-25	2001-12-25
US6353814	DEVELOPMENTAL LEARNING MACHINE AND METHOD	Michigan State University	1998-10-07	2002-03-05	2002-03-05
US6365237	METHOD OF MAKING NON-PLANAR MICRO-OPTICAL STRUCTURES	University of New Mexico	2000-07-24	2002-04-02	2002-04-02
US6370144	METHODS AND APPARATUS FOR SHAPING QUEUED PACKETS USING A TWO-DIMENSIONAL RAM-BASED SEARCH ENGINE	New York University Polytechnic Institute	1998-11-04	2002-04-09	2002-04-09
US6370560	LOAD SHARING CONTROLLER FOR OPTIMIZING RESOURCE UTILIZATION COST	Research Foundation of State University of New York	1998-03-13	2002-04-09	2002-04-09
US6396928	DIGITAL MESSAGE ENCRYPTION AND AUTHENTICATION	Monash University	1997-10-24	2002-05-28	2002-05-28
US6407679	SYSTEM AND METHOD FOR ENTERING TEXT IN A VIRTUAL ENVIRONMENT	Research Foundation of State University of New York	1999-07-30	2002-06-18	2002-06-18
US6433760	HEAD MOUNTED DISPLAY WITH EYETRACKING CAPABILITY	University of Central Florida	1999-12-23	2002-08-13	2002-08-13
US6434037	MUX-BASED ROM USING N-BIT SUBFUNCTION ENCODING	University of New Mexico	2000-10-10	2002-08-13	2002-08-13
US6434261	Method for automatic detection of targets within a digital image	University of Texas System	1998-02-23	2002-08-13	2002-08-13
US6438268	VECTOR QUANTISATION CODEBOOK GENERATION METHOD	University of Strathclyde	1997-10-15	2002-08-20	2002-08-20
US6442190	METHOD AND SYSTEM FOR SELF-ENCODING A SEQUENTIAL STRING OF DATA SYMBOLS FOR TRANSMISSION VIA COMMUNICATION SYSTEMS	University of Nebraska	1998-11-10	2002-08-27	2002-08-27
US6446031	Cone mapping physical optics for design of indoor communication system	University of Akron	1999-01-22	2002-09-03	2002-09-03
US6448965	VOICE-CONTROLLED IMMERSIVE VIRTUAL REALITY SYSTEM	Mason George University	1999-06-18	2002-09-10	2002-09-10
US6453206	Neural network for predicting values in non-linear functional mappings	University of Strathclyde	1997-11-21	2002-09-17	2002-09-17
US6456901	Hybrid robot motion task level control system	Michigan State University	2001-04-20	2002-09-24	2002-09-24
US6459818	SYSTEM FOR RECOVERY OF DEGRADED IMAGES	University of Rochester	1999-03-01	2002-10-01	2002-10-01
US6473351	NANOCAPSULES CONTAINING CHARGED PARTICLES, THEIR USES AND METHODS OF FORMING THE SAME	Michigan State University	2001-08-09	2002-10-29	2002-10-29
US6475245	METHOD AND APPARATUS FOR HYBRID CODING OF SPEECH AT 4KBPS HAVING PHASE ALIGNMENT BETWEEN MODE-SWITCHED FRAMES	University of California	2001-02-05	2002-11-05	2002-11-05
US6476693	METAL DIELECTRIC COMPOSITE RESONATOR	New Jersey Institute of Technology	1998-09-15	2002-11-05	2002-11-05
US6480195	METHOD AND APPARATUS FOR GENERATING A STRAIGHT LINE	Mason George University	1999-09-03	2002-11-12	2002-11-12
US6480299	COLOR PRINTER CHARACTERIZATION USING OPTIMIZATION THEORY AND NEURAL NETWORKS	University Technology Corp	1998-11-25	2002-11-12	2002-11-12
US6480646	MICRO-MIRROR AND ACTUATOR WITH EXTENDED TRAVEL RANGE	New Jersey Institute of Technology	2001-05-11	2002-11-12	2002-11-12
US6487213	METHODS AND APPARATUS FOR FAIRLY ARBITRATING CONTENTION FOR AN OUTPUT PORT	New York University Polytechnic Institute	1999-01-04	2002-11-26	2002-11-26
US6495642	PROCESS FOR PREPARING ELECTROSENSITIVE POLYMERS AND RESULTING POLYMERS AND ARTICLES	Rutgers State University of New Jersey	2001-03-05	2002-12-17	2002-12-17
US6501590	DISPLAY MEDIUM USING EMITTING PARTICLES DISPERSED IN A TRANSPARENT HOST	University of Central Florida	2001-10-12	2002-12-31	2002-12-31
US6501676	ACCESSING OF TWO-TERMINAL ELECTRONIC QUANUM DOT COMPRISING STATIC MEMORY	University of Nebraska	2001-06-12	2002-12-31	2002-12-31
US6519340	METHOD AND APPARATUS FOR ENCRYPTION USING PARTIAL INFORMATION	University of Connecticut	1999-01-29	2003-02-11	2003-02-11
US6525750	PROJECTION DISPLAY FOR COMPUTERS 	Duke University	1996-03-08	2003-02-25	2003-02-25
US6525851	HIGH THROUGHPUT, LOW-LATENCY NEXT GENERATION INTERNET NETWORKS USING OPTICAL LABEL SWITCHING AND HIGH SPEED OPTICAL HEADER GENERATION, DETECTION AND REINSERATION	University of California	2001-01-05	2003-02-25	2003-02-25
US6529614	ADVANCED MINIATURE PROCESSING HARDWARE FOR ATR APPLICATIONS	California Institute of Technology 	1999-08-04	2003-03-04	2003-03-04
US6538662	EFFICIENT PIXEL PACKING 	Duke University	2001-05-23	2003-03-25	2003-03-25
US6542636	METHOD AND SYSTEM FOR COMPUTERIZED HIGH-RATE IMAGE PROCESSING 	Nevada System of Higher Education (University of Nevada)	1998-02-20	2003-04-01	2003-04-01
US6545781	HIGH-THROUGHPUT, LOW LATENCY NEXT GENERATION INTERNET NETWORKS USING OPTICAL LABEL SWITCHING AND HIGH-SPEED OPTICAL HEADER GENERATION, DETECTION AND REINSERTION	University of California	1999-07-14	2003-04-08	2003-04-08
US6546375	Apparatus and method of pricing financial derivatives	Johns Hopkins University	1999-09-21	2003-04-08	2003-04-08
US6552729	Automatic generation of animation of synthetic characters	California Institute of Technology 	1999-11-04	2003-04-22	2003-04-22
US6556025	DC/LOW FREQUENCY SUB-ATTO SIGNAL LEVEL MEASUREMENT CIRCUIT	University of Waterloo	2000-06-16	2003-04-29	2003-04-29
US6567537	METHOD TO ASSESS PLANT STRESS USING TWO NARROW RED SPECTRAL BANDS	Virginia Commonwealth University	2000-01-13	2003-05-20	2003-05-20
US6571008	REVERSE ENGINEERING OF POLYMERIC SOLID MODELS BY REFRACTIVE INDEX MATCHING	Washington State University Research Foundation	1999-08-06	2003-05-27	2003-05-27
US6573773	CONFLICT FREE RADIATION TOLERANT STORAGE CELL	University of New Mexico	2001-02-02	2003-06-03	2003-06-03
US6573897	Real-time, interactive animation of deformable two- and three- dimensional objects	California Institute of Technology 	2000-05-11	2003-06-03	2003-06-03
US6580537	HIGH-THROUGHPUT, LOW-LATENCY NEXT GENERATION INTERNET NETWORKS UING OPTICAL LABEL SWITCHING AND HIGH-SPEED OPTICAL HEADER GENERATION, DETECTION AND REINSERTION	University of California	1999-07-14	2003-06-17	2003-06-17
US6590898	METHOD AND APPARATUS FOR ROUTING DATA PACKETS	New Jersey Institute of Technology	1999-12-30	2003-07-08	2003-07-08
US6597967	System and method for planning a tool path along a contoured surface	Michigan State University	2001-02-28	2003-07-22	2003-07-22
US6599442	TEMPERATURE MEASUREMENT AND TEMPERATURE CONTROLLED SWITCHING BASED ON HELICAL SENSE DEPENDENT LIQUID CRYSTAL PHASES	New York University Polytechnic Institute	2001-02-26	2003-07-29	2003-07-29
US6603473	Detail data pertaining to theshape of an object surface and related methods and systems	California Institute of Technology 	2001-04-11	2003-08-05	2003-08-05
US6608589	AUTONOMOUS SATELLITE NAVIGATION SYSTEM	Johns Hopkins University	1999-04-21	2003-08-19	2003-08-19
US6611609	METHOD OF TRACKING CHANGES IN A MULTI-DIMENSIONAL DATA STRUCTURE	University of Nebraska	1999-11-08	2003-08-26	2003-08-26
US6625311	METHODOLOGY FOR DATE STRUCTURE CHARACTERIZATION, INDEXING STORAGE AND RETRIEVAL	University of Nebraska	2001-07-19	2003-09-23	2003-09-23
US6633331	High-sped CCD array camera with random pixel selection	California Institute of Technology 	1998-11-20	2003-10-14	2003-10-14
US6633671	Camera-based handwriting tracking	California Institute of Technology 	1999-01-28	2003-10-14	2003-10-14
US6654161	DISPERSED CRYSTALLITE UP-CONVERSION DISPLAYS	University of Central Florida	2001-07-31	2003-11-25	2003-11-25
US6657757	HIGH-THROUGHPUT, LOW LATENCY NEXT GENERATION INTERNET NETWORKS USING OPTICAL LABEL SWITCHING AND HIGH-SPEED OPTICAL HEADER GENERATION, DETECTION AND REINSERTION	University of California	1999-07-14	2003-12-02	2003-12-02
US6665651	CONTROL SYSTEM AND TECHNIQUE EMPLOYING REINFORCEMENT LEARNING HAVING STABILITY AND LEARNING PHASES 	Colorado State University Research Foundation	2002-07-18	2003-12-16	2003-12-16
US6674103	HBT WITH NITROGEN-CONTAINING CURRENT BLOCKING BASE COLLECTOR INTERFACE AND METHOD FOR CURRENT BLOCKING	University of California	2001-07-31	2004-01-06	2004-01-06
US6674558	HIGH-THROUGHPUT LOW-LATENCY NEXT GENERATION INTERNET NETWORKS USING OPTICAL LABEL SWITCHING AND HIGH SPEED OPTICAL HEADER GENERATION, DETECTION AND REINSERTION	University of California	1999-11-08	2004-01-06	2004-01-06
US6674894	METHOD AND APPARATUS FOR ENHANCING AN IMAGE USING DATA OPTIMIZATION AND SEGMENTATION	University of Utah Research Foundation (UURF)	2000-04-19	2004-01-06	2004-01-06
US6680693	METHOD AND APPARATUS FOR AUTOMATICALLY TRACKING THE SUN WITH AN OBJECT	University of Southern Mississippi	2002-03-07	2004-01-20	2004-01-20
US6683506	CMOS PHASE LOCKED LOOP WITH VOLTAGE CONTROLLED OSCILLATOR HAVING REALIGNMENT TO REFERENCE AND METHOD FOR THE SAME	University of California	2002-01-18	2004-01-27	2004-01-27
US6691312	MULTICASTING VIDEO	University of Massachusetts (UMass)	2000-03-17	2004-02-10	2004-02-10
US6694407	CACHE MEMORY	University of Bristol	2000-01-28	2004-02-17	2004-02-17
US6707948	IMAGE COMPRESSION FOR MEMORY-CONSTRAINED DECODERS	University of California	1998-11-16	2004-03-16	2004-03-16
US6711717	Method and system for compiling circuit designs	California Institute of Technology 	2002-10-11	2004-03-23	2004-03-23
US6731158	SELF REGULATING BODY BIAS GENERATOR	University of New Mexico	2002-06-13	2004-05-04	2004-05-04
US6732336	Method and apparatus for an asynchronous pulse logic circuit	California Institute of Technology 	2002-10-11	2004-05-04	2004-05-04
US6734597	THERMOMECHANICAL IN-PLANE MICROACTUATOR	Brigham Young University	2001-06-18	2004-05-11	2004-05-11
US6744083	SUBMICRON MOSFET HAVING ASYMMETRIC CHANNEL PROFILE 	University of Texas System	2002-10-01	2004-06-01	2004-06-01
US6754449	OPTICAL LAYER MULTICASTING SWITCH	University of California	2001-01-30	2004-06-22	2004-06-22
US6754450	OPTICAL LAYER MULTICASTING USING A SINGLE SUB-CARRIER HEADER WITH ACTIVE HEADER DETECTION, DELECTION, AND NEW HEADER INSERTION VIA OPTO-ELECTRICAL PROCESSING	University of California	2001-01-30	2004-06-22	2004-06-22
US6757495	OPTICAL LAYER MULTICASTING USING A MULTIPLE SUB-CARRIER HEADER AND A MULTICAST SWITCH WITH ACTIVE HEADER INSERTION VIA SINGLE SIDEBAND OPTICAL PROCESSING	University of California	2001-01-30	2004-06-29	2004-06-29
US6757496	OPTICAL LAYER MULTICASTING USING A SINGLE SUB-CARRIER HEADER AND ARE OPTICAL MULTICASTING SWITCH	University of California	2001-01-30	2004-06-29	2004-06-29
US6757666	Locally connected neural network with improved feature vector	California Institute of Technology 	2000-04-13	2004-06-29	2004-06-29
US6763285	Adaptive compensation of sensor run-out and mass unbalance in magnetic bearing systems without changing rotor speed	Michigan State University	2001-08-21	2004-07-13	2004-07-13
US6766114	OPTICAL LAYER MULTICASTING USING A SINGLE SUB-CARRIER HEADER AND A MULTICAST SWITCH WITH ACTIVE HEADER INSERTION VIA SINGLE SIDEBAND OPTICAL PROCESSING	University of California	2001-01-30	2004-07-20	2004-07-20
US6768342	SURFING LOGIC PIPELINES	University of British Columbia	2002-10-17	2004-07-27	2004-07-27
US6768871	OPTICAL LAYER MULTICASTING USING A MULTICAST SWITCH TO EFFECT SURVIVABILITY AND SECURITY 	University of California	2001-01-30	2004-07-27	2004-07-27
US6771831	Data compression method and system using globally optimal scalar quantization	California Institute of Technology 	2002-11-15	2004-08-03	2004-08-03
US6772367	SOFTWARE FAULT TOLERANCE OF CONCURRENT PROGRAMS USING CONTROLLED RE-EXECUTION	University of Texas System	2000-10-13	2004-08-03	2004-08-03
US6775415	FRACTAL IMAGE COMPRESSION USING REINFORCEMENT LEARNING	Mason George University	2000-05-25	2004-08-10	2004-08-10
US6804399	METHOD AND SYSTEM FOR COMPUTERIZED HIGH-RATE IMAGE PROCESSING 	Nevada System of Higher Education (University of Nevada)	2002-10-03	2004-10-12	2004-10-12
US6813276	OPTICAL LAYER MULTICASTING USING A SINGLE SUB-CARRIER HEADER WITH ACTIVE HEADER DETECTION, DELECTION, AND RE-INSERTION VIA A CIRCULATING OPTICAL PATH	University of California	2001-01-30	2004-11-02	2004-11-02
US6819666	OPTICAL LAYER MULTICASTING USING MULTIPLE SUB-CARRIER HEADERS WITH HEADER DETECTION, DELECTION, AND INSERTION VIA REFLECTIVE SINGLE SIDEBAND OPTICAL PROCESSING	University of California	2001-01-30	2004-11-16	2004-11-16
US6826752	PROGRAMMING SYSTEM AND THREAD SYNCHRONIZATION MECHANISMS FOR THE DEVELOPEMENT OF SELECTIVELY SEQUENTIAL AND MULTITHREADED COMPUTER PROGRAMS	California Institute of Technology 	1999-12-14	2004-11-30	2004-11-30
US6828966	Method of deriving mesh surface representation from volume representation	California Institute of Technology 	2002-04-29	2004-12-07	2004-12-07
US6840999	IN SITU REGROWTH AND PURIFICATION OF CRYSTALLINE THIN FILMS	University of Texas System	2001-07-16	2005-01-11	2005-01-11
US6859170	EXTENDED KALMAN FILTER FOR AUTONOMOUS SATELLITE NAVIGATION SYSTEM	Johns Hopkins University	2002-12-30	2005-02-22	2005-02-22
US6873797	OPTICALLY LAYER MULTICASTING	University of California	2001-01-30	2005-03-29	2005-03-29
US6883084	RECONFIGURABLE DATA PATH PROCESSOR	University of New Mexico	2002-07-25	2005-04-19	2005-04-19
US6895305	Robotic apparatus and wireless communication system	ANTHROTRONIX Inc,University of Maryland, Baltimore	2002-02-27	2005-05-17	2005-05-17
US6907017	MOBILITY MANAGEMENT IN WIRELESS INTERNET PROTOCOL NETWORKS	University of California	2001-05-18	2005-06-14	2005-06-14
US6917708	HANDWRITING RECOGNITION BY WORD SEPARATION INTO SILHOUETTE BAR CODES AND OTHER FEATURE EXTRACTION	California Institute of Technology 	2001-01-19	2005-07-12	2005-07-12
US6920373	Synchronization and task control of real-time internet based super-media	Michigan State University	2002-04-15	2005-07-19	2005-07-19
US6920415	Method of trimming a representation of an object surface comprising a mesh of tessellated polygons and related system	California Institute of Technology 	2001-04-11	2005-07-19	2005-07-19
US6924908	COLOR MANAGEMENT SYSTEMS AND METHODS WITH IMPROVED COLOR MATCHING TECHNIQUES	Brown University Research Foundation Inc	2000-05-31	2005-08-02	2005-08-02
US6925426	Process for high fidelity sound recording and reproduction of musical sound	Michigan State University	2000-02-22	2005-08-02	2005-08-02
US6934472	OPTICAL LAYER MULTICASTING USING A SINGLE SUB-CARRIER HEADER AND A MULTICAST SWITCH WITH ACTIVE HEADER INSERTION	University of California	2001-01-30	2005-08-23	2005-08-23
US6949954	Method and apparatus for an asynchronous pulse logic circuit	California Institute of Technology 	2003-10-24	2005-09-27	2005-09-27
US6957204	OSCILLATORY NEUROCOMPUTERS WITH DYNAMIC CONNECTIVITY	Arizona State University	1999-11-12	2005-10-18	2005-10-18
US6965969	Non-uniform cache apparatus, systems, and methods	University of Texas System	2004-10-08	2005-11-15	2005-11-15
US6982515	DUAL POSITION LINEAR DISPLACEMENT MICROMECHANISM	Brigham Young University	2001-09-12	2006-01-03	2006-01-03
US6996554	DATABASE PROCESSOR	University of Strathclyde	2002-04-12	2006-02-07	2006-02-07
US7006656	LOSSLESS EMBEDDING OF DATA IN DIGITAL OBJECTS	Research Foundation of State University of New York	2001-10-15	2006-02-28	2006-02-28
US7010751	METHODS FOR THE ELECTRONIC ANNOTATION, RETRIEVAL, AND USE OF ELECTRONIC IMAGES 	University of Maryland, College Park	2001-10-15	2006-03-07	2006-03-07
US7020076	Fault-tolerant communication channel structures	California Institute of Technology 	2000-10-26	2006-03-28	2006-03-28
US7023435	Object surface representation and related methods and systems	California Institute of Technology 	2001-04-11	2006-04-04	2006-04-04
US7029971	Thin film dielectrics for capacitors and methods of making thereof	North Carolina State University,E I Du Pont de Nemours and Co	2003-07-17	2006-04-18	2006-04-18
US7050635	MULTI-DIMENSIONAL PATTERN RECOGNITION BY USE OF DIGITAL HOLOGRAPHY	University of Connecticut	2001-03-30	2006-05-23	2006-05-23
US7057435	DISTRIBUTED DELAY-LOCKED-BASED CLOCK AND DATA RECOVERY SYSTEMS	University of California	2004-05-28	2006-06-06	2006-06-06
US7061440	ELECTRICALLY SMALL PLANAR ANTENNAS WITH INDUCTIVELY COUPLED FEED 	University of Texas System	2004-06-14	2006-06-13	2006-06-13
