patent_id	patent_title	assigneeOriginal	filingDate	publicationDate	grantDate
US20060237528	RADIO FREQUENCY TRANSACTIONS USING A PLURALITY OF ACCOUNTS	American Express Travel Related Services Co Inc	2005-11-18	2006-10-26	
US20060274154	Data Storage Usage Protocol	Searete LLC	2006-04-14	2006-12-07	
US20060279530	Physical Interaction-Sensitive User Interface	Searete LLC	2005-05-25	2006-12-14	
US20060279531	Physical Interaction-Responsive User Interface	Jung Edward K,Levien Royce A,Lord Robert W,Malamud Mark A,Rinaldo John D Jr	2005-05-27	2006-12-14	
US20060288225	User-Centric Question and Answer for Authentication and Security 	Jung Edward K,Levien Royce A,Lord Robert W,Malamud Mark A,Rinaldo John D Jr	2005-06-03	2006-12-21	
US20060292539	Adaptively User-Centric Authentication/Security	Jung Edward K,Lord Robert W,Levien Royce A,Malamud Mark A,Rinaldo John D Jr	2005-06-28	2006-12-28	
US20070005422	Techniques for Image Generation	Searete LLC	2005-07-01	2007-01-04	
US20070005423	Providing Promotional Content	Searete LLC	2005-07-01	2007-01-04	
US20070041231	Memory Device Activation and Deactivation	Searete LLC	2005-08-05	2007-02-22	
US20070050604	Fetch Rerouting in Response to an Execution-Based Optimization Profile	Searete LLC	2005-11-30	2007-03-01	
US20070050605	Freeze-Dried Ghost Pages	Bran Ferren,Hillis W D,Mangione-Smith William H,Myhrvold Nathan P,Tegreene Clarence T,Wood Lowell L Jr	2005-12-30	2007-03-01	
US20070052856	Composite Image Selectivity	Searete LLC	2006-08-25	2007-03-08	
US20070067270	Searching for Possible Restricted Content Related to Electronic Communications	Searete LLC	2005-10-24	2007-03-22	
US20070067719	Identifying Possible Restricted Content in Electronic Communications	Searete LLC	2005-09-21	2007-03-22	
US20070067849	Reviewing Electronic Communications for Possible Restricted Content	Jung Edward K,Levien Royce A,Lord Robert W,Malamud Mark A,Rinaldo John D Jr	2005-09-21	2007-03-22	
US20070067850	Multiple Versions of Electronic Communications	Searete LLC	2005-10-21	2007-03-22	
US20070078702	Integrated technology quality model	American Express Travel Related Services Co Inc	2006-08-01	2007-04-05	
US20070094679	DIGITAL MEDIUM WITH HIDDEN CONTENT	Shuster Gary S	2006-10-19	2007-04-26	
US20070098348	Degradation/Preservation Management of Captured Data	Searete LLC	2006-05-15	2007-05-03	
US20070109411	Composite Image Selectivity	Searete LLC	2006-10-31	2007-05-17	
US20070120981	Storage Access Technique for Captured Data	Searete LLC	2006-11-07	2007-05-31	
US20070139529	Dual Mode Image Capture Technique	Searete LLC	2006-12-18	2007-06-21	
US20070160024	Status Indicator for Communication Systems	Searete LLC	2006-12-20	2007-07-12	
US20070172987	MEMBRANE-BASED CHIP TOOLING	Roger Dugas,John Trezza	2007-03-30	2007-07-26	
US20070174164	Network/Processor Fraud Scoring for Card Not Present Transactions	American Express Travel Related Services Co Inc	2006-12-21	2007-07-26	
US20070174183	Context Determinants in Virtual World Environment	Jung Edward K,Levien Royce A,Lord Robert W,Malamud Mark A,Rinaldo John D Jr	2006-01-26	2007-07-26	
US20070175977	System, method, and computer program product for processing payments with a virtual preauthorized draft	American Express Travel Related Services Co Inc	2006-04-24	2007-08-02	
US20070179839	Method and computer program product for redeeming loyalty points in an online raffle	American Express Marketing and Dev Corp	2005-10-25	2007-08-02	
US20070179844	System and method for insuring frequent traveler reward miles	American Express Travel Related Services Co Inc	2006-04-19	2007-08-02	
US20070179886	Method for facilitating payment of a billing statement	American Express Travel Related Services Co Inc	2005-04-19	2007-08-02	
US20070185840	Audio-based internet search methods and sub-combinations	Rhoads Geoffrey B	2007-01-08	2007-08-09	
US20070192121	Method, system, and computer program product for honoring customer privacy and preferences	American Express Travel Related Services Co Inc	2006-09-29	2007-08-16	
US20070192187	Rewarding frequent fliers with last seat availability	American Express Travel Related Services Co Inc	2006-04-27	2007-08-16	
US20070192222	System and Method for Producing Transaction Level Detail Based on a Card Spend Transaction	American Express Travel Related Services Co Inc	2007-03-22	2007-08-16	
US20070198335	System and method for providing loyalty rewards to an assistant designated to manage a financial transaction account	American Express Marketing and Dev Corp	2005-10-11	2007-08-23	
US20070198941	Graphical user interface with zoom for detail-in-context presentations	David Baar,Timothy Lochner,Garth Shoemaker	2007-03-27	2007-08-23	
US20070202923	System and Method for Transferring Media Content Between a Portable Device and a Video Display	Searete LLC	2006-02-24	2007-08-30	
US20070208629	Shopping Using Exemplars	Jung Edward K Y,Levien Royce A,Lord Robert W,Malamud Mark A,Rinaldo John D	2006-03-02	2007-09-06	
US20070208648	TRADING SYSTEM WITH ELFS AND UMPIRES	Stikine Tech LLC,Xylon LLC	2006-08-31	2007-09-06	
US20070219995	KNOWLEDGE FILTER	Knowledge Filter	2007-03-27	2007-09-20	
US20070222865	Enhanced Video/Still Image Correlation	Searete LLC	2006-06-26	2007-09-27	
US20070223858	Electromagnetically Responsive Element With Self Resonant Bodies	Searete LLC	2006-03-22	2007-09-27	
US20070223866	Controllable Electromagnetically Responsive Assembly of Self Resonant Bodies	Searete LLC	2006-03-22	2007-09-27	
US20070226140	Expedited Issuance and Activation of a Transaction Instrument	American Express Travel Related Services Co Inc	2006-03-24	2007-09-27	
US20070226640	Apparatus and methods for organizing and/or presenting data	KoolTorch LLC	2007-05-25	2007-09-27	
US20070237101	Heading-Dependent Routing Method and Network Subsystem	Searete LLC	2005-09-07	2007-10-11	
US20070244577	Device-Assisted Wizard	Jung Edward K Y,Levien Royce A,Lord Robert W,Malamud Mark A,Rinaldo John D Jr,Wood Lowell L Jr	2006-04-18	2007-10-18	
US20070254381	Monitoring and/or Treating Syringe Mechanism	Searete LLC	2006-04-27	2007-11-01	
US20070257354	Code Installation Decisions for Improving Aggregate Functionality	Searete LLC	2006-03-31	2007-11-08	
US20070260174	Detecting a Failure to Maintain a Regimen	Searete LLC	2006-05-05	2007-11-08	
US20070260509	System and method for express redemption of accrued rewards	American Express Travel Related Services Co Inc	2005-12-22	2007-11-08	
US20070260643	Information source agent systems and methods for distributed data storage and management using content signatures	Bruce Borden,Russell Brand	2007-04-06	2007-11-08	
US20070263865	Authorization Rights for Substitute Media Content	Searete LLC	2007-04-26	2007-11-15	
US20070266049	Implementation of Media Content Alteration	Searete LLC	2007-04-27	2007-11-15	
US20070274563	Capturing Selected Image Objects	Searete LLC	2007-01-19	2007-11-29	
US20070276757	Approval Technique for Media Content Alteration	Searete LLC	2007-03-30	2007-11-29	
US20070282880	Partial Role or Task Allocation Responsive to Data-Transformative Attributes	Searete LLC	2006-05-31	2007-12-06	
US20070291773	DIGITAL OBJECT ROUTING BASED ON A SERVICE REQUEST	LIPPERSHY CELESTIAL LLC	2005-12-06	2007-12-20	
US20070294091	Responding to Advertisement-Adverse Content or the Like	Searete LLC	2006-05-10	2007-12-20	
US20070294181	Flexible digital rights management with secure snippets	Saurabh Chheda,Kristopher Carver,Raksit Ashok,Moritz Csaba A,Jared Eldredge	2007-05-21	2007-12-20	
US20070294720	Promotional Placement in Media Works	Searete LLC	2007-05-25	2007-12-20	
US20070296544	METHOD FOR USING A SENSOR TO REGISTER A BIOMETRIC FOR USE WITH A TRANSPONDER-READER SYSTEM RELATED APPLICATIONS 	American Express Travel Related Services Co Inc	2007-09-07	2007-12-27	
US20080010083	Approval Technique for Media Content Alteration	Searete LLC	2007-06-26	2008-01-10	
US20080013859	Implementation of Media Content Alteration	Searete LLC	2007-07-09	2008-01-17	
US20080021715	System and method for analyzing and comparing cost increases	American Express Travel Related Services Co Inc	2006-07-18	2008-01-24	
US20080021746	SYSTEM AND METHOD FOR AIRLINE PURCHASING PROGRAM MANAGEMENT	American Express Travel Related Services Co Inc	2007-07-31	2008-01-24	
US20080028041	Peer to Peer Distribution System and Method	Jung Edward K,Levien Royce A,Lord Robert W,Malamud Mark A,Rinaldo John D Jr	2007-07-26	2008-01-31	
US20080034295	DISPLAYING TAGS ASSOCIATED WITH ITEMS IN A VIDEO PLAYBACK	Fall Front Wireless NY LLC	2006-08-04	2008-02-07	
US20080046509	Peer to Peer Distribution System and Method	Searete LLC	2007-08-14	2008-02-21	
US20080046956	USER CONTROL FOR DISPLAYING TAGS ASSOCIATED WITH ITEMS IN A VIDEO PLAYBACK	Fall Front Wireless NY LLC	2006-11-22	2008-02-21	
US20080052104	Group Content Substitution In Media Works	Searete LLC	2007-08-16	2008-02-28	
US20080052161	Alteration of Promotional Content in Media Works	Searete LLC	2007-06-29	2008-02-28	
US20080052165	Peer to Peer Distribution System and Method	Searete LLC	2007-08-14	2008-02-28	
US20080066123	Inventory of Home Entertainment System Devices Using a Wireless Home Entertainment Hub	Technology Patents and Licensing Inc	2006-11-27	2008-03-13	
US20080066124	Presentation of Data on Multiple Display Devices Using a Wireless Home Entertainment Hub	Technology Patents and Licensing Inc	2007-01-19	2008-03-13	
US20080068376	Three dimensional human-computer interface	Qinetiq Ltd	2007-11-09	2008-03-20	
US20080068381	Using Network Access Port Linkages for Data Structure Update Decisions	Searete LLC	2006-09-19	2008-03-20	
US20080071793	Using Network Access Port Linkages for Data Structure Update Decisions	Searete LLC	2006-12-15	2008-03-20	
US20080072032	Configuring Software Agent Security Remotely	Searete LLC	2006-09-19	2008-03-20	
US20080072170	System and method for utilizing a drag and drop technique to complete electronic forms	American Express Travel Related Services Co Inc	2007-09-25	2008-03-20	
US20080082373	System and method for improved itinerary providing merchant information	American Express Travel Related Services Co Inc	2006-12-27	2008-04-03	
US20080086380	Alteration Of Promotional Content In Media Works	Searete LLC	2007-10-03	2008-04-10	
US20080092239	Method and system for secure distribution of selected content to be protected	David H Sitrick	2006-10-11	2008-04-17	
US20080103966	SYSTEM AND/ OR METHOD FOR DYNAMIC DETERMINATION OF TRANSACTION PROCESSING FEES	MERLE HALDEMAN	2006-10-31	2008-05-01	
US20080112663	Layered Electromagnetically Responsive Assembly	Searete LLC	2006-03-22	2008-05-15	
US20080114691	PROCESSING TRANSACTIONS	Kirchner and Wilhelm GmbH and Co KG	2006-10-31	2008-05-15	
US20080134324	Notarizable Electronic Paper	Searete LLC	2007-10-30	2008-06-05	
US20080140573	Connected audio and other media objects	Levy Kenneth L,Rhoads Geoffrey B	2007-10-31	2008-06-12	
US20080155033	E-mail Address Management	American Express Travel Related Services Co Inc	2006-12-21	2008-06-26	
US20080158366	Shared Image Device Designation	Searete LLC	2007-11-30	2008-07-03	
US20080162156	SYSTEM AND METHOD FOR REMOTE CROSS PLATFORM PORTABLE SIMULCAST NETWORK	Voorhuis PLC LLC,Cufer Asset Ltd LLC	2006-12-29	2008-07-03	
US20080180538	Image Anonymization	Searete LLC	2007-01-31	2008-07-31	
US20080180539	Image Anonymization According to an Anonymization Policy	Searete LLC	2007-03-26	2008-07-31	
US20080195551	METHOD OF AND SYSTEM FOR EFFECTING ANONYMOUS CREDIT CARD PURCHASES OVER THE INTERNET	INCOGNO Corp	2008-04-16	2008-08-14	
US20080205523	VIDEO CODING WITH EMBEDDED MOTION	GERALD L SCHROEDER,Xylon LLC	2007-02-23	2008-08-28	
US20080229198	Electronically Providing User Assistance	Searete LLC	2008-01-30	2008-09-18	
US20080234998	Coordinating Instances of a Thread or Other Service in Emulation	Searete LLC	2007-06-28	2008-09-25	
US20080234999	Implementing Performance-Dependent Transfer or Execution Decisions From Service Emulation Indications	Searete LLC	2007-03-22	2008-09-25	
US20080235000	Implementing Security Control Practice Omission Decisions From Service Emulation Indications	Searete LLC	2007-03-22	2008-09-25	
US20080235001	Implementing Emulation Decisions in Response to Software Evaluations or the Like	Searete LLC	2007-03-22	2008-09-25	
US20080235711	Coordinating Instances of a Thread or Other Service in Emulation	Searete LLC	2007-03-22	2008-09-25	
US20080243587	Increasing Incremental Spend By A Consumer	American Express Travel Related Services Co Inc	2007-03-30	2008-10-02	
US20080244755	Authorization for Media Content Alteration	Searete LLC	2007-06-26	2008-10-02	
US20080251364	Feedback on input actuator	Nokia Oy AB	2007-04-11	2008-10-16	
US20080261572	Mobile device business models	Hong Kong University of Science and Technology (HKUST)	2008-03-25	2008-10-23	
US20080270161	Authorization Rights for Substitute Media Content	Searete LLC	2007-07-09	2008-10-30	
US20080270234	Rewarding Influencers	Searete LLC	2007-06-07	2008-10-30	
US20080270301	MOBILE PAYMENT SYSTEM AND METHOD	American Express Travel Related Services Co Inc	2007-04-27	2008-10-30	
US20080270416	Determining Influencers	Searete LLC	2007-04-30	2008-10-30	
US20080270473	Determining an Influence on a Person by Web Pages	Searete LLC	2007-06-29	2008-10-30	
US20080270474	Collecting Influence Information	Searete LLC	2007-06-29	2008-10-30	
US20080270551	Rewarding Influencers	Searete LLC	2007-04-30	2008-10-30	
US20080270552	Determining Influencers	Searete LLC	2007-06-08	2008-10-30	
US20080270620	Reporting Influence on a Person by Network-Available Content	Searete LLC	2007-06-29	2008-10-30	
US20080288299	SYSTEM AND METHOD FOR USER IDENTITY VALIDATION FOR ONLINE TRANSACTIONS	GenMobi Tech Inc	2008-05-09	2008-11-20	
US20080294798	PORTABLE ELECTRONIC DEVICE MANAGEMENT	Xylon LLC	2007-05-23	2008-11-27	
US20080305806	Context Associating Aspects	Searete LLC	2007-09-07	2008-12-11	
US20080306835	System and method for customizing an email message	American Express Travel Related Services Co Inc	2008-05-28	2008-12-11	
US20080307074	Customizable media player with online/offline capabilities	Lextron Systems Inc	2008-07-28	2008-12-11	
US20080313233	Implementing Audio Substitution Options In Media Works	Searete LLC	2008-05-28	2008-12-18	
US20080320088	Helping Valuable Message Content Pass Apparent Message Filtering	Searete LLC	2007-06-19	2008-12-25	
US20090008441	TRACKING RF TRANSACTION ACTIVITY USING A TRANSACTION DEVICE IDENTIFIER	Xatra Fund MX LLC	2008-09-08	2009-01-08	
US20090019487	VIDEO TAG LAYOUT	Kulas Charles J	2007-07-13	2009-01-15	
US20090019491	MOVING VIDEO TAGS OUTSIDE OF A VIDEO AREA TO CREATE A MENU SYSTEM	Kulas Charles J	2008-07-11	2009-01-15	
US20090037243	Audio Substitution Options In Media Works	Searete LLC	2008-05-27	2009-02-05	
US20090037278	Implementing Visual Substitution Options In Media Works	Searete LLC	2008-05-28	2009-02-05	
US20090043727	System and Method for Stepped Loading of Web Page Content	American Express Travel Related Services Co Inc	2008-10-13	2009-02-12	
US20090051542	Individualizing a Content Presentation	Searete LLC	2007-08-24	2009-02-26	
US20090055341	Regulatory Survey Automation System (RSAS)	American Express Travel Related Services Co Inc	2008-05-23	2009-02-26	
US20090055853	System Individualizing A Content Presentation	Searete LLC	2007-09-27	2009-02-26	
US20090063585	Using Party Classifiability to Inform Message Versioning	Searete LLC	2007-08-31	2009-03-05	
US20090063587	Method and system for function-specific time-configurable replication of data manipulating functions	Jakob Holger	2008-10-31	2009-03-05	
US20090063631	Message-Reply-Dependent Update Decisions	Searete LLC	2007-08-31	2009-03-05	
US20090063632	Layering Prospective Activity Information	Searete LLC	2007-08-31	2009-03-05	
US20090070434	SYSTEM AND METHOD FOR EFFICIENTLY ACCESSING INTERNET RESOURCES	Himmelstein Richard B	2008-06-06	2009-03-12	
US20090076418	Repetitive Strain Mitigation	Searete LLC	2007-09-18	2009-03-19	
US20090083803	System and method for receiving broadcast multimedia on a mobile device	PacketVideo Corp	2008-09-26	2009-03-26	
US20090106112	System and Method for Issuing and Using a Loyalty Point Advance	American Express Travel Related Services Co Inc	2008-12-18	2009-04-23	
US20090112656	Returning A Personalized Advertisement	Searete LLC	2007-12-11	2009-04-30	
US20090112693	Providing Personalized Advertising	Searete LLC	2007-11-30	2009-04-30	
US20090112694	Targeted-Advertising Based On A Sensed Physiological Response By A Person To A General Advertisement	Searete LLC	2007-11-30	2009-04-30	
US20090112695	Physiological Response Based Targeted Advertising	Searete LLC	2007-11-30	2009-04-30	
US20090112696	Method Of Space-Available Advertising In A Mobile Device	Searete LLC	2008-01-03	2009-04-30	
US20090112697	Providing Personalized Advertising	Searete LLC	2008-01-22	2009-04-30	
US20090112713	Opportunity Advertising In A Mobile Device	Searete LLC	2008-01-03	2009-04-30	
US20090112849	Selecting A Second Content Based On A User's Reaction To A First Content Of At Least Two Instances Of Displayed Content 	Searete LLC	2007-10-30	2009-04-30	
US20090113297	Requesting A Second Content Based On A User's Reaction To A First Content	Searete LLC	2007-10-25	2009-04-30	
US20090113298	Method Of Selecting A Second Content Based On A User's Reaction To A First Content	Searete LLC	2007-10-24	2009-04-30	
US20090115571	RF PAYMENT VIA A MOBILE DEVICE	Xatra Fund MX LLC	2009-01-07	2009-05-07	
US20090125914	Using Evaluations Of Tentative Message Content	Searete LLC	2007-11-08	2009-05-14	
US20090144391	Audio Sharing	Searete LLC	2007-11-30	2009-06-04	
US20090147846	Scalable predictive coding method and apparatus	VoiceCraft Inc	2008-11-19	2009-06-11	
US20090150199	Visual Substitution Options In Media Works	Searete LLC	2008-05-27	2009-06-11	
US20090150237	POINTS BASED ONLINE AUCTION	American Express Travel Related Services Co Inc	2008-04-01	2009-06-11	
US20090150444	Media Markup For Audio Content Alteration	Searete LLC	2008-11-26	2009-06-11	
US20090151004	Media Markup For Visual Content Alteration	Searete LLC	2008-11-26	2009-06-11	
US20090157452	POLICY AND CONTRACT COMPLIANCE SYSTEM AND METHOD	American Express Travel Related Services Co Inc	2008-02-19	2009-06-18	
US20090157481	Methods And Systems For Specifying A Cohort-Linked Avatar Attribute	Searete LLC	2008-06-24	2009-06-18	
US20090157555	BILL PAYMENT SYSTEM AND METHOD	American Express Travel Related Services Co Inc	2008-04-02	2009-06-18	
US20090157625	Methods And Systems For Identifying An Avatar-Linked Population Cohort	Searete LLC	2008-06-18	2009-06-18	
US20090157751	Methods And Systems For Specifying An Avatar	Searete LLC	2007-12-13	2009-06-18	
US20090157813	Methods And Systems For Identifying An Avatar-Linked Population Cohort	Searete LLC	2007-12-17	2009-06-18	
US20090160939	MOBILE UNIT COMMUNICATION VIA A NETWORK	LOT 3 ACQUISITION FOUNDATION LLC	2009-02-27	2009-06-25	
US20090164131	Methods And Systems For Specifying A Media Content-Linked Population Cohort	Searete LLC	2007-12-31	2009-06-25	
US20090164379	Conditional Authorization For Security-Activated Device	Searete LLC	2008-10-17	2009-06-25	
US20090164503	Methods And Systems For Specifying A Media Content-Linked Population Cohort	Searete LLC	2007-12-20	2009-06-25	
US20090164549	Methods And Systems For Determining Interest In A Cohort-Linked Avatar	Searete LLC	2007-12-20	2009-06-25	
US20090165127	Authorization Rights For Operational Components	Searete LLC	2008-10-10	2009-06-25	
US20090165134	Look Ahead Of Links / Alter Links	Searete LLC	2008-05-22	2009-06-25	
US20090171164	Methods And Systems For Identifying An Avatar-Linked Population Cohort	Searete LLC	2007-12-31	2009-07-02	
US20090171855	MONETIZING NETWORK CONNECTED USER BASES UTILIZING DISTRIBUTED PROCESSING SYSTEMS	Hubbard Edward A	2009-03-03	2009-07-02	
US20090172540	Population Cohort-Linked Avatar	Searete LLC	2007-12-31	2009-07-02	
US20090177464	Speech gain quantization strategy	Conexant Systems Inc,Mindspeed Technologies Inc	2009-03-06	2009-07-09	
US20090177527	Rewarding Influencers	Searete LLC	2008-10-28	2009-07-09	
US20090177563	Authorization refresh system and method	American Express Travel Related Services Co Inc	2009-01-16	2009-07-09	
US20090198930	Information backup system for handheld devices	ClevX LLC	2007-06-01	2009-08-06	
US20090204475	Media Markup for Promotional Visual Content	Searete LLC	2009-01-29	2009-08-13	
US20090210946	Media Markup for Promotional Audio Content	Searete LLC	2009-02-03	2009-08-20	
US20090218523	Electromagnetic Cloaking And Translation Apparatus, Methods, And Systems	Searete LLC	2008-02-29	2009-09-03	
US20090235364	Media Markup For Promotional Content Alteration	Searete LLC	2009-02-27	2009-09-17	
US20090241118	SYSTEM AND METHOD FOR PROCESSING INTERFACE REQUESTS IN BATCH	American Express Travel Related Services Co Inc	2008-03-20	2009-09-24	
US20090245236	Method, System and Computer Program Product for Managing Routing Servers and Services	Vertical Communications Acquisition Corp	2008-11-25	2009-10-01	
US20090254826	PORTABLE COMMUNICATIONS DEVICE	S F IP Properties 21 LLC	2009-02-18	2009-10-08	
US20090267758	Systems and Apparatus for Measuring a Bioactive Agent Effect	Searete LLC		2009-10-29	
US20090268071	Image Sensor With Scaler And Image Scaling Method Thereof	Crosstek Capital LLC		2009-10-29	
US20090269329	Combination Therapeutic Products And Systems	Searete LLC		2009-10-29	
US20090270688	Methods And Systems For Presenting A Combination Treatment	Searete LLC	2008-10-28	2009-10-29	
US20090270694	Methods And Systems For Monitoring And Modifying A Combination Treatment	Searete LLC		2009-10-29	
US20090271009	Combination Treatment Modification Methods and Systems	Searete LLC		2009-10-29	
US20090271122	Methods And Systems For Monitoring And Modifying A Combination Treatment	Searete LLC		2009-10-29	
US20090271213	Combination Treatment Selection Methods and Systems	Searete LLC		2009-10-29	
US20090271217	Side Effect Ameliorating Combination Therapeutic Products and Systems	Searete LLC		2009-10-29	
US20090271246	MERCHANT RECOMMENDATION SYSTEM AND METHOD	American Express Travel Related Services Co Inc		2009-10-29	
US20090271347	Methods And Systems For Monitoring Bioactive Agent Use	Searete LLC		2009-10-29	
US20090271375	Combination Treatment Selection Methods And Systems	Searete LLC	2008-04-24	2009-10-29	
US20090272420	Method And System For Converting Light To Electric Power	Searete LLC		2009-11-05	
US20090284542	LENS-DEFINED ADJUSTMENT OF DISPLAYS	Noregin Assets LLC NV		2009-11-19	
US20090292658	Acquisition And Particular Association Of Inference Data Indicative Of Inferred Mental States Of Authoring Users	Searete LLC		2009-11-26	
US20090299845	System and method for the transfer of loyalty points	American Express Travel Related Services Co Inc		2009-12-03	
US20090300480	Media Segment Alteration with Embedded Markup Identifier	Searete LLC	2009-05-29	2009-12-03	
US20090307078	Method and system for facilitating search, selection, preview, purchase evaluation, offering for sale, distribution and/or sale of digital content and enhancing the security thereof	Ashish K Mithal,Amad Tayebi		2009-12-10	
US20090307624	INTERFACE AND PROGRAM USING VISUAL DATA ARRANGEMENTS FOR EXPRESSING USER PREFERENCES CONCERNING AN ACTION OR TRANSACTION	Maquis Techtrix LLC	2008-10-16	2009-12-10	
US20090318773	Involuntary-Response-Dependent Consequences	Searete LLC		2009-12-24	
US20090319301	Methods And Systems For Presenting A Combination Treatment	Searete LLC		2009-12-24	
US20090319352	Rebate transaction instrument system and method	American Express Travel Related Services Co Inc		2009-12-24	
US20090327042	Facilitating Compensation Arrangements Having Privacy Preservation Aspects	Searete LLC		2009-12-31	
US20100004989	SYSTEMS, METHODS, APPARATUS AND COMPUTER PROGRAM PRODUCTS FOR INTERFACING PAYMENT SYSTEMS TO A NETWORK ASSOCIATED WITH A REFERRAL	American Express Travel Related Services Co Inc		2010-01-07	
US20100010930	Providing a forecasted credit score	American Express Travel Related Services Co Inc		2010-01-14	
US20100011359	METHOD AND APPARATUS FOR MANAGING OWNERSHIP OF VIRTUAL PROPERTY	Hoshiko LLC	2009-09-21	2010-01-14	
US20100017271	Methods, systems and devices for user profile-based viewable images and for merging of the images	Jarbridge Inc	2009-09-28	2010-01-21	
US20100017272	Viewing images for review in merged image form and with parameter-based image processing	Jarbridge Inc		2010-01-21	
US20100017282	Methods, systems and devices for merged images and fee generation in online retail	Jarbridge Inc		2010-01-21	
